epoch,loss,returns,fireworks,lives,epi_length,num_epis,batch_size,illegal_moves,prob0
57600,0.0,-6.0,1.265635919613016,0.0,4.2656359196130165,117.89,502.55,0.0,0.0
57700,0.0,-6.0,1.2468193650300023,0.0,4.246819365030003,118.47,502.73,0.0,0.0
57800,0.0,-6.0,1.2798229078977224,0.0,4.279822907897722,117.5,502.63,0.0,0.0
57900,0.0,-6.0,1.2375509787987318,0.0,4.2375509787987315,118.78,503.0,0.0,0.0
58000,0.0,-6.0,1.2677681529616662,0.0,4.267768152961666,117.88,502.71,0.0,0.0
58100,0.0,-6.0,1.2496740750580932,0.0,4.249674075058093,118.48,503.06,0.0,0.0
58200,0.0,-6.0,1.254929437517824,0.0,4.254929437517824,118.28,502.89,0.0,0.0
58300,0.0,-6.0,1.265154090259672,0.0,4.265154090259672,117.98,502.86,0.0,0.0
58400,0.0,-6.0,1.247872193690617,0.0,4.2478721936906165,118.47,502.97,0.0,0.0
58500,0.0,-6.0,1.2569009405849152,0.0,4.256900940584915,118.15,502.68,0.0,0.0
58600,0.0,-6.0,1.264375960401483,0.0,4.264375960401483,117.97,502.75,0.0,0.0
58700,0.0,-6.0,1.2416461293220205,0.0,4.24164612932202,118.59,502.64,0.0,0.0
58800,0.0,-6.0,1.2317109236451427,0.0,4.231710923645143,118.95,503.03,0.0,0.0
58900,0.0,-6.0,1.2485150752141947,0.0,4.248515075214194,118.5,503.02,0.0,0.0
59000,0.0,-6.0,1.2659846753569177,0.0,4.265984675356917,117.93,502.73,0.0,0.0
59100,0.0,-6.0,1.2641525129867488,0.0,4.264152512986748,118.0,502.8,0.0,0.0
59200,0.0,-6.0,1.250387419057455,0.0,4.250387419057454,118.37,502.8,0.0,0.0
59300,0.0,-6.0,1.2594461061583075,0.0,4.259446106158308,118.15,502.83,0.0,0.0
59400,0.0,-6.0,1.2597970825497118,0.0,4.259797082549712,118.12,502.85,0.0,0.0
59500,0.0,-6.0,1.2766293257483106,0.0,4.27662932574831,117.65,502.79,0.0,0.0
59600,0.0,-6.0,1.2758706676946567,0.0,4.275870667694656,117.71,502.89,0.0,0.0
59700,0.0,-6.0,1.2728722085365423,0.0,4.272872208536542,117.77,502.89,0.0,0.0
59800,0.0,-6.0,1.2421118182686168,0.0,4.242111818268617,118.62,502.82,0.0,0.0
59900,0.0,-6.0,1.2564706217024688,0.0,4.256470621702469,118.27,502.97,0.0,0.0
60000,0.0,-6.0,1.2656150575964773,0.0,4.265615057596477,117.98,502.89,0.0,0.0
60100,0.0,-6.0,1.2678829296070908,0.0,4.267882929607089,117.9,502.83,0.0,0.0
60200,0.0,-6.0,1.2630885041720685,0.0,4.263088504172069,118.05,502.75,0.0,0.0
60300,0.0,-6.0,1.2685263957041961,0.0,4.268526395704196,117.86,502.67,0.0,0.0
60400,0.0,-6.0,1.2567325354122527,0.0,4.256732535412254,118.15,502.62,0.0,0.0
