epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
10500,-0.06062394608226088,1.748697868036104,3.855718305840855,3.450278166822285,1.060857907978006,69.25927611785454,15.0,1033.6944444444443,0.7222222222222222,0.0,0.82323490579923,"[0.06913861 0.1024586  0.053712   0.11268209 0.11342666 0.00906683
 0.01797152 0.01184332 0.02222983 0.02630541 0.46116513]"
10600,-0.05710034792311489,1.8700197012138193,3.923836134453781,3.557884453781513,1.0826076097105508,69.80816760037348,14.94,1037.69,0.2,0.0,0.8540654283761978,"[0.07976841 0.08284572 0.07690495 0.11675014 0.1027154  0.00541502
 0.00658183 0.01768832 0.01427152 0.02961346 0.46744525]"
10700,-0.06203650685027242,1.7526776736335563,3.8127978973640735,3.5327523791567916,1.1955790867629104,71.85956106801696,14.56,1042.29,0.5,0.0,0.8250659608840942,"[0.09573924 0.09341783 0.05276957 0.12413247 0.09338671 0.00519487
 0.01217469 0.00796295 0.03220204 0.01686584 0.4661538 ]"
10800,-0.05536226521711796,1.7832123132586366,3.8665910364145657,3.5400727124183,1.1372237394957982,71.03632014472456,14.71,1041.28,0.7,0.0,0.8039951932430267,"[0.10866878 0.09158406 0.07754727 0.09710509 0.07907788 0.01339533
 0.01161152 0.0186404  0.02425561 0.01385839 0.46425563]"
10900,-0.05876264348626137,1.8891865012928255,3.9425951034259863,3.643298534798534,1.1298285929756515,72.05505604934282,14.43,1036.85,0.19,0.0,0.8658614629507064,"[0.08597089 0.09180555 0.09593775 0.10163128 0.08164079 0.00588277
 0.01276058 0.01184006 0.03171519 0.0206046  0.46021056]"
11000,-0.054807569477707145,1.8423714905192852,3.9376896412411124,3.6221413757810814,1.1829546972635208,72.60265128743805,14.32,1037.16,0.63,0.0,0.8882743632793426,"[0.09884062 0.08992776 0.08354136 0.08630309 0.10255084 0.00470336
 0.01587429 0.01489112 0.02010397 0.01788531 0.46537825]"
11100,-0.05662714941892773,1.8774571719457018,3.944201635782518,3.6531002118796234,1.1776710748401924,72.35459666558933,14.36,1036.12,0.28,0.0,0.8849600839614868,"[0.11252624 0.08416128 0.08138926 0.10249484 0.06515205 0.01132078
 0.01264814 0.01223774 0.02464803 0.0221607  0.4712609 ]"
11200,-0.05563186256214976,1.889006957193134,4.01120640307405,3.6374547690871224,1.0987560152266034,71.84582771313653,14.53,1040.66,0.31,0.0,0.8791887682676315,"[0.08257123 0.08970831 0.12729329 0.10574735 0.04828906 0.00667
 0.01010406 0.00470442 0.02866063 0.0401772  0.45607445]"
11300,-0.05335370199289173,1.8434043907563031,3.991405345471522,3.5407916666666672,1.0366196311858078,69.8278990429505,14.94,1038.21,0.61,0.0,0.8134893399477005,"[0.07289138 0.08330495 0.14900546 0.08317477 0.06431106 0.00856909
 0.00999856 0.0078712  0.03612637 0.02602808 0.45871902]"
11400,-0.058263511224649844,1.843571526610645,3.95477906162465,3.5506088935574227,1.0866957282913166,69.59118977591035,14.9,1033.28,0.81,0.0,0.787456836104393,"[0.08073699 0.11410587 0.09608009 0.08510894 0.07757914 0.01189554
 0.01912483 0.00580462 0.03222081 0.02203629 0.45530692]"
11500,-0.05927604667842388,1.8320780399528238,3.9230477419037793,3.503869176618016,1.0733610128261832,68.80375439210772,15.2,1038.86,0.27,0.0,0.8493724149465561,"[0.07558824 0.08374426 0.11084028 0.1098808  0.07941856 0.00505336
 0.02223814 0.00633032 0.02918435 0.01407496 0.46364674]"
11600,-0.059580913297832015,1.915584024644947,4.025693406309893,3.6083168153226204,1.067063995773748,69.40454594206103,15.05,1038.78,0.38,0.0,0.8272266209125518,"[0.06860616 0.12451346 0.08463088 0.08794807 0.08491033 0.00837945
 0.02277186 0.00472258 0.01619117 0.02772311 0.4696029 ]"
11700,-0.06308961622416973,1.914483562091504,4.04549941643324,3.6110978057889827,1.040846988795518,70.289935340803,14.91,1043.85,0.37,0.0,0.8075431567430497,"[0.06098527 0.10334601 0.06779043 0.1077911  0.12393328 0.01331067
 0.01091725 0.00304118 0.02268242 0.02683943 0.45936295]"
11800,-0.05715224176645279,1.876261968647109,3.971650922649762,3.5682013428178294,1.0639045837633299,69.95938588505578,14.93,1038.42,0.14,0.0,0.8218758517503738,"[0.0802443  0.1047025  0.06040298 0.09276261 0.10601311 0.0073907
 0.01535014 0.00656553 0.02747068 0.02982267 0.46927476]"
11900,-0.057532744836062195,1.9372624445162694,4.086214294692236,3.630870187818717,1.1088297152194209,70.320603928751,14.8,1036.6,0.8,0.0,0.895753093957901,"[0.05455304 0.10129676 0.06334522 0.10309952 0.1176607  0.01124633
 0.0260965  0.00942504 0.0280816  0.01949542 0.46569988]"
12000,-0.06717872010543942,1.9839158796595573,4.039790508511096,3.6807861901170726,1.1149635315664725,70.9501238328665,14.71,1039.86,0.14,0.0,0.8485247790813446,"[0.04539556 0.07100917 0.0386394  0.20590216 0.09029039 0.00508679
 0.01208646 0.00824371 0.03344048 0.02342996 0.4664759 ]"
12100,-0.059075883510522544,2.023643301910509,4.201060592185591,3.733850822380234,1.0807697784241903,70.36294753285931,14.82,1037.02,1.92,0.0,0.8151051580905915,"[0.04178686 0.08171496 0.04754827 0.18814823 0.07122666 0.00825815
 0.02323635 0.00573524 0.02612782 0.02399851 0.48221892]"
