epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon
11100,0.0,0.0,1.2491987095431862,0.0,0.0,4.249198709543185,118.37373737373737,502.64646464646466,0.0,-4.999999995309122e-05
11200,0.0,0.0,1.2590445437576918,0.0,0.0,4.259044543757692,118.08,502.59,0.0,-4.999999995309122e-05
11300,0.0,0.0,1.2527656184805758,0.0,0.0,4.252765618480576,118.31,502.77,0.0,-4.999999995309122e-05
11400,0.0,0.0,1.233533676590038,0.0,0.0,4.233533676590038,118.89,502.95,0.0,-4.999999995309122e-05
11500,0.0,0.0,1.2412651023202654,0.0,0.0,4.2412651023202645,118.62,502.76,0.0,-4.999999995309122e-05
11600,0.0,0.0,1.2513557013561498,0.0,0.0,4.25135570135615,118.29,502.45,0.0,-4.999999995309122e-05
11700,0.0,0.0,1.2608366387524752,0.0,0.0,4.260836638752475,118.12,502.89,0.0,-4.999999995309122e-05
11800,0.0,0.0,1.2551309555409798,0.0,0.0,4.255130955540979,118.27,502.87,0.0,-4.999999995309122e-05
11900,0.0,0.0,1.2559602974071409,0.0,0.0,4.2559602974071415,118.37,503.33,0.0,-4.999999995309122e-05
12000,0.0,0.0,1.2685155412313864,0.0,0.0,4.268515541231386,117.86,502.7,0.0,-4.999999995309122e-05
12100,0.0,0.0,1.2467105392289077,0.0,0.0,4.246710539228907,118.5,502.89,0.0,-4.999999995309122e-05
12200,0.0,0.0,1.2562891754041465,0.0,0.0,4.256289175404147,118.24,502.92,0.0,-4.999999995309122e-05
12300,0.0,0.0,1.252565058264866,0.0,0.0,4.252565058264866,118.31,502.8,0.0,-4.999999995309122e-05
12400,0.0,0.0,1.2533992604142639,0.0,0.0,4.253399260414264,118.27,502.69,0.0,-4.999999995309122e-05
12500,0.0,0.0,1.2431923075535913,0.0,0.0,4.243192307553591,118.54,502.68,0.0,-4.999999995309122e-05
12600,0.0,0.0,1.2714789004388882,0.0,0.0,4.271478900438888,117.76,502.68,0.0,-4.999999995309122e-05
12700,0.0,0.0,1.2793656962544824,0.0,0.0,4.279365696254482,117.55,502.7,0.0,-4.999999995309122e-05
12800,0.0,0.0,1.2570568018487773,0.0,0.0,4.257056801848777,118.23,502.94,0.0,-4.999999995309122e-05
12900,0.0,0.0,1.2618186115155452,0.0,0.0,4.261818611515546,118.0,502.55,0.0,-4.999999995309122e-05
13000,0.0,0.0,1.2456647365968714,0.0,0.0,4.245664736596871,118.54,502.91,0.0,-4.999999995309122e-05
13100,0.0,0.0,1.2785166170308697,0.0,0.0,4.278516617030869,117.65,502.97,0.0,-4.999999995309122e-05
13200,0.0,0.0,1.2521476266609692,0.0,0.0,4.25214762666097,118.28,502.66,0.0,-4.999999995309122e-05
13300,0.0,0.0,1.2637017631287524,0.0,0.0,4.263701763128752,118.03,502.78,0.0,-4.999999995309122e-05
13400,0.0,0.0,1.2427538519856585,0.0,0.0,4.2427538519856585,118.55,502.7,0.0,-4.999999995309122e-05
13500,0.0,0.0,1.258452898566413,0.0,0.0,4.2584528985664125,118.2,503.01,0.0,-4.999999995309122e-05
13600,0.0,0.0,1.2595383249813947,0.0,0.0,4.259538324981395,118.21,503.19,0.0,-4.999999995309122e-05
13700,0.0,0.0,1.256531931187358,0.0,0.0,4.256531931187358,118.14,502.5,0.0,-4.999999995309122e-05
13800,0.0,0.0,1.2702807904443758,0.0,0.0,4.270280790444375,117.81,502.6,0.0,-4.999999995309122e-05
13900,0.0,0.0,1.2512249082087827,0.0,0.0,4.251224908208783,118.37,502.85,0.0,-4.999999995309122e-05
14000,0.0,0.0,1.2566800222430274,0.0,0.0,4.256680022243026,118.15,502.57,0.0,-4.999999995309122e-05
14100,0.0,0.0,1.2705147746113779,0.0,0.0,4.270514774611378,117.84,502.77,0.0,-4.999999995309122e-05
14200,0.0,0.0,1.2530190566420278,0.0,0.0,4.253019056642027,118.31,502.75,0.0,-4.999999995309122e-05
14300,0.0,0.0,1.265117290012904,0.0,0.0,4.265117290012904,117.98,502.79,0.0,-4.999999995309122e-05
14400,0.0,0.0,1.2386151936717433,0.0,0.0,4.238615193671743,118.78,503.14,0.0,-4.999999995309122e-05
14500,0.0,0.0,1.2374069720428738,0.0,0.0,4.237406972042874,118.79,503.05,0.0,-4.999999995309122e-05
14600,0.0,0.0,1.2653209169896615,0.0,0.0,4.265320916989662,118.07,503.24,0.0,-4.999999995309122e-05
14700,0.0,0.0,1.248827227890733,0.0,0.0,4.248827227890732,118.45,502.89,0.0,-4.999999995309122e-05
14800,0.0,0.0,1.2559071779232027,0.0,0.0,4.255907177923203,118.23,502.85,0.0,-4.999999995309122e-05
14900,0.0,0.0,1.2571026605389142,0.0,0.0,4.257102660538914,118.22,502.87,0.0,-4.999999995309122e-05
15000,0.0,0.0,1.277446250981373,0.0,0.0,4.277446250981373,117.74,503.26,0.0,-4.999999995309122e-05
15100,0.0,0.0,1.2774116489921683,0.0,0.0,4.277411648992168,117.66,502.85,0.0,-4.999999995309122e-05
15200,0.0,0.0,1.2632036288421538,0.0,0.0,4.263203628842153,118.03,502.77,0.0,-4.999999995309122e-05
15300,0.0,0.0,1.2593544087467803,0.0,0.0,4.2593544087467805,118.09,502.53,0.0,-4.999999995309122e-05
15400,0.0,0.0,1.2544750584551851,0.0,0.0,4.254475058455185,118.29,502.71,0.0,-4.999999995309122e-05
15500,0.0,0.0,1.2691933477770916,0.0,0.0,4.269193347777092,117.85,502.77,0.0,-4.999999995309122e-05
