epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves
159500,0.15733914263546467,4.9523809523809526,4.988095238095238,4.988095238095238,2.982142857142857,80.49404761904762,7.0,563.4583333333334,0.0
159600,0.16303221598267556,4.958571428571428,4.981428571428571,4.981428571428571,2.9885714285714284,80.29714285714286,7.0,562.08,0.0
159700,0.16291375428438187,4.9314285714285715,4.9799999999999995,4.9799999999999995,2.9757142857142855,80.41857142857144,7.0,562.93,0.0
159800,0.17114031843841077,4.942857142857142,4.957142857142856,4.957142857142856,2.992857142857143,80.50000000000001,7.0,563.5,0.0
159900,0.16445111498236656,4.962857142857143,4.982857142857143,4.982857142857143,2.99,80.22857142857143,7.0,561.6,0.0
160000,0.1632904399186373,4.922857142857143,4.988571428571428,4.988571428571428,2.967142857142857,80.56857142857145,7.0,563.98,0.0
160100,0.16498485647141933,4.935714285714286,4.978571428571429,4.978571428571429,2.978571428571428,80.39142857142858,7.0,562.74,0.0
160200,0.15973350330721586,4.918571428571428,4.984285714285715,4.984285714285715,2.988571428571429,79.85428571428572,7.0,558.98,0.03
160300,0.15268373176455496,4.908571428571428,4.9799999999999995,4.9799999999999995,2.9785714285714278,79.87,7.0,559.09,0.02
160400,0.1500884570926428,4.93,4.99,4.99,2.9771428571428573,80.07999999999998,7.0,560.56,0.01
160500,0.16602449357509613,4.947142857142857,4.978571428571428,4.978571428571428,2.9842857142857144,80.55,7.0,563.85,0.0
160600,0.17420491069555283,4.962857142857143,4.974285714285714,4.974285714285714,2.9942857142857147,80.52142857142857,7.0,563.65,0.0
160700,0.17863386154174804,4.977142857142857,4.98,4.98,2.998571428571429,80.85,7.0,565.95,0.0
160800,0.18170063950121404,4.974285714285714,4.98,4.98,2.9971428571428573,80.79714285714286,7.0,565.58,0.0
160900,0.1884001322835684,4.94,4.9714285714285715,4.9714285714285715,2.998571428571428,81.32285714285715,7.0,569.26,0.02
161000,0.17961896061897278,4.842857142857142,4.93142857142857,4.93142857142857,2.998571428571429,81.47285714285712,7.0,570.31,0.06
161100,0.18112220361828804,4.937142857142857,4.965714285714285,4.965714285714285,2.985714285714286,80.86428571428571,7.0,566.05,0.0
161200,0.1816404940932989,4.942857142857143,4.988571428571429,4.988571428571429,2.977142857142857,80.67,7.0,564.69,0.0
161300,0.17818883165717125,4.927142857142857,4.975714285714285,4.975714285714285,2.9757142857142855,80.66571428571427,7.0,564.66,0.0
161400,0.17732102304697037,4.97,4.984285714285714,4.984285714285714,2.9928571428571433,80.84285714285714,7.0,565.9,0.0
161500,0.16818839624524118,4.967142857142857,4.972857142857142,4.972857142857142,2.9971428571428573,80.75571428571429,7.0,565.29,0.0
161600,0.176719486489892,4.961428571428572,4.981428571428571,4.981428571428571,2.9900000000000007,81.03571428571428,7.0,567.25,0.0
161700,0.16837929360568524,4.942857142857143,4.988571428571429,4.988571428571429,2.9771428571428573,80.83857142857143,7.0,565.87,0.0
161800,0.1696530270576477,4.941428571428571,4.9871428571428575,4.9871428571428575,2.9771428571428573,80.92857142857142,7.0,566.5,0.0
161900,0.16604029770940543,4.967142857142857,4.972857142857142,4.972857142857142,2.9971428571428573,81.04714285714286,7.0,567.33,0.0
162000,0.16330229103565216,4.961428571428571,4.975714285714285,4.975714285714285,2.9928571428571433,80.85428571428571,7.0,565.98,0.0
162100,0.16826121151447296,4.957142857142856,4.985714285714286,4.985714285714286,2.9857142857142858,80.58428571428571,7.0,564.09,0.0
162200,0.15983953282237054,4.964285714285714,4.9957142857142856,4.9957142857142856,2.9842857142857144,80.48,7.0,563.36,0.0
162300,0.16199561338871718,4.9471428571428575,4.981428571428571,4.981428571428571,2.9828571428571435,80.35,7.0,562.45,0.0
162400,0.15922977574169636,4.947142857142857,4.987142857142857,4.987142857142857,2.98,80.18714285714286,7.0,561.31,0.0
162500,0.16284658320248127,4.9642857142857135,4.978571428571429,4.978571428571429,2.992857142857143,80.16,7.0,561.12,0.0
162600,0.09389825720340013,3.8880952380952385,4.985714285714286,4.985714285714286,2.9928571428571433,80.29619047619047,6.99,561.17,0.65
162700,0.17021013543009758,4.968571428571428,4.982857142857143,4.982857142857143,2.992857142857143,80.97428571428573,7.0,566.82,0.0
162800,0.1712633153051138,4.967142857142857,4.978571428571429,4.978571428571429,2.9942857142857138,80.8,7.0,565.6,0.0
162900,0.17220878407359122,4.957142857142857,4.974285714285714,4.974285714285714,2.9914285714285715,80.67142857142856,7.0,564.7,0.0
163000,0.16684807337820529,4.9714285714285715,4.982857142857143,4.982857142857143,2.9942857142857147,80.7342857142857,7.0,565.14,0.0
163100,0.16282813370227814,4.952857142857143,4.99,4.99,2.9814285714285713,80.97857142857143,7.0,566.85,0.0
163200,0.16821551240980626,4.958571428571428,4.99,4.99,2.9842857142857144,80.83571428571429,7.0,565.85,0.0
163300,0.16665381349623204,4.945714285714286,4.985714285714286,4.985714285714286,2.9799999999999995,80.91714285714285,7.0,566.42,0.0
163400,0.15911298170685767,4.941428571428571,4.984285714285714,4.984285714285714,2.978571428571429,81.16,7.0,568.12,0.0
163500,0.17191773399710655,4.98,4.98,4.98,3.0,81.24571428571427,7.0,568.72,0.0
163600,0.1651092133577913,4.8999999999999995,4.959999999999999,4.959999999999999,2.998571428571429,81.61857142857141,7.0,571.33,0.04
163700,0.17026688434183598,4.881428571428573,4.978571428571429,4.978571428571429,2.965714285714285,81.39,7.0,569.73,0.02
163800,0.16192763447761535,4.938571428571429,4.981428571428571,4.981428571428571,2.978571428571428,81.40285714285714,7.0,569.82,0.0
