epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves
170400,-0.16494843608566692,0.0,2.260971088953314,0.0,0.0,6.106516920821043,82.67142857142858,503.34285714285716,0.0
170500,-0.17971125192940235,0.0,2.2898976923053187,0.0,0.0,6.27499644382559,80.43,503.71,0.0
170600,-0.19264074079692364,0.0,2.3548497259378407,0.0,0.0,6.483668554228684,77.95,504.32,0.0
170700,-0.2059921359270811,-0.0012658227848101266,2.262278317800657,0.0,0.0,6.536206014071395,77.25,503.95,0.01
170800,-0.19808173157274722,0.0,2.229176651195052,0.0,0.0,6.302323204907254,80.24,504.4,0.0
170900,-0.19099642895162106,-0.001176470588235294,2.214372662909507,0.0,0.0,6.370219827619895,79.31,504.3,0.01
171000,-0.16327908359467982,0.0,2.149863587803904,0.0,0.0,6.72223756979033,75.15,504.01,0.0
171100,-0.16461518935859204,-0.0014084507042253522,2.186184153709825,0.0,0.0,7.076186577570679,71.42,504.42,0.01
171200,-0.18252085201442242,0.0,2.284522359922259,0.0,0.0,7.136078643516059,70.94,504.88,0.0
171300,-0.17690997742116452,0.0,2.23447972512387,0.0,0.0,6.616349057283284,76.43,504.23,0.0
171400,-0.18126715324819087,0.0,2.253870854272966,0.0,0.0,6.664850261854185,75.83,504.32,0.0
171500,-0.18850191727280616,0.0,2.3770167859959925,0.0,0.0,7.110204701975855,71.06,503.91,0.0
171600,-0.1806300251930952,0.0,2.3127202326469893,0.0,0.0,6.9444529676518485,72.82,504.22,0.0
171700,-0.18942529059946536,0.0,2.335518639371598,0.0,0.0,7.158836954546359,70.65,504.7,0.0
171800,-0.18698273591697215,0.0,2.329170118738558,0.0,0.0,7.264006224003584,69.57,504.35,0.0
171900,-0.17526453986763954,-0.0015226142017186793,2.3406133827162012,0.0,0.0,7.465047498743363,67.76,504.78,0.01
172000,-0.1713698561489582,0.0,2.3245429779309403,0.0,0.0,7.248182483148464,69.89,505.02,0.0
