num_exp,out of lives,illegal move,lost one life,discard,lr_pi,hidden_layers_pi,activation_pi,renormalize_adv,entropy_coeff,lr_vf,hidden_layers_vf,activation_vf,train_vf_iters,gammas,batch_sizes,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
16,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
17,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
18,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
19,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
20,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
21,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
22,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
23,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
24,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
25,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
26,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
27,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
28,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
29,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
30,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
31,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
32,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
33,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
34,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
35,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
36,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
37,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
