num_exp,illegal move,out of lives,lost one life,discard,play,hint,discard playable card,discard useless card,discard unique card,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,entropy_coeff,renormalize_gt,life_tokens,hint_tokens,shuffle_hand,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,-0.05,standard,-0.01,standard,0.002,-0.002,-0.01,0.01,-0.01,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
1,-0.05,standard,-0.01,standard,0.002,-0.002,-0.01,0.01,-0.01,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
2,-0.005,standard,-0.001,standard,0.0002,-0.0002,-0.001,0.001,-0.001,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
3,-0.005,standard,-0.001,standard,0.0002,-0.0002,-0.001,0.001,-0.001,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
4,-0.0005,standard,-0.0001,standard,2e-05,-2e-05,-0.0001,0.0001,-0.0001,"[128, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
5,-0.0005,standard,-0.0001,standard,2e-05,-2e-05,-0.0001,0.0001,-0.0001,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,False,0,exponential,100000,0.001
