num_exp,out of lives,illegal move,lost one life,discard,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
35,standard,-10,-0.2,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
36,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
37,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
38,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
39,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
40,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
41,standard,-10,-0.2,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
42,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
43,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
44,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
45,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
46,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
47,standard,-10,-0.2,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
48,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
49,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
50,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
51,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
52,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
53,standard,-10,-10,standard,[64],Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
