num_exp,out of lives,illegal move,lost one life,discard,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,entropy_coeff,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
44,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
45,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
46,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
47,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
48,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
49,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
50,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
51,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
52,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
53,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
54,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
55,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
