epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target
87300,-0.031890911921763264,66.15513826027895,132.02064557257893,13.39213470138393,11.467822585624443,1.1459174583013594,64.45911504502835,15.974358974358974,1026.4615384615386,0.41025641025641024,0.0,0.2777911386428735,"[0.05286094 0.05374419 0.059501   0.02925529 0.1752363  0.05788665
 0.02689731 0.03567434 0.0499093  0.06599525 0.39303946]",47.48543167114258,44.73040008544922
87400,-0.02162632974795997,68.05737438201905,131.83778016339866,13.411022101823185,11.091033797729619,1.0927972136222912,64.08682851737186,16.15,1032.97,0.41,0.0,0.2621568277478218,"[0.07817774 0.05555965 0.02982722 0.0300405  0.17970298 0.053238
 0.02078015 0.0432905  0.04710139 0.0631775  0.3991044 ]",51.19083786010742,47.87680435180664
87500,-0.018950354965636507,62.818726291656496,131.76360601307184,13.384810457516341,11.272848856209153,1.1492598039215687,64.19991911764706,16.08,1030.54,0.95,0.0,0.24436843901872635,"[0.08946786 0.08346298 0.01701157 0.01486568 0.1736944  0.0408185
 0.02890704 0.04297866 0.04730515 0.06119091 0.40029728]",46.467613220214844,46.381195068359375
87600,-0.01806986383162439,69.63198566436768,131.37986046095628,13.362276788785689,11.047879170966633,1.0826514447884419,64.54153065875472,16.04,1033.57,0.15,0.0,0.26716336771845817,"[0.04922033 0.05771532 0.06094681 0.0156984  0.18520053 0.05772772
 0.03503453 0.03638908 0.04502204 0.06640189 0.39064336]",45.871150970458984,43.198631286621094
87700,-0.0237639564240817,62.72291240692139,130.70193200980387,13.25368382352941,11.36183905228758,1.2087107843137255,64.56018545751634,15.99,1030.79,0.28,0.0,0.2597740158438683,"[0.05933687 0.06986766 0.0537985  0.01248628 0.17867078 0.04694921
 0.02548713 0.03816532 0.04808814 0.05839958 0.40875056]",44.29943084716797,44.692440032958984
87800,-0.024190630790544673,67.4888191986084,130.47632577313377,13.27634171826625,10.983648907808737,1.1025775713794288,63.76715527175783,16.22,1032.2,1.11,0.0,0.23357547253370284,"[0.07029608 0.0725064  0.03956134 0.00673676 0.18506154 0.05244334
 0.03629785 0.03910358 0.05108274 0.05372001 0.39319038]",42.82147216796875,43.648956298828125
87900,-0.022768222073791547,72.1904135131836,131.1970683006535,13.386460784313725,10.70249019607843,0.9883006535947714,63.38631372549019,16.3,1031.08,0.84,0.0,0.24464598163962364,"[0.0700054  0.04194794 0.06097622 0.02958415 0.16796093 0.05759661
 0.03521542 0.04095651 0.04139428 0.06354032 0.39082223]",44.834957122802734,44.895748138427734
88000,-0.021471686966251582,70.5581407546997,130.92129919934635,13.340441176470586,10.822420751633988,1.0625334967320261,63.37059150326797,16.32,1032.26,0.44,0.0,0.2507449270784855,"[0.07892508 0.0503177  0.07301088 0.02438655 0.16063643 0.03500396
 0.02810832 0.03973109 0.04946993 0.06988613 0.39052394]",49.04670715332031,47.49807357788086
88100,-0.023498362593818455,66.67825851440429,132.46267555555548,13.438527777777777,11.474950980392157,1.1553382352941177,64.15103513071895,16.09,1029.72,0.45,0.0,0.24183119609951972,"[0.07212593 0.04787358 0.04816395 0.0232062  0.17694324 0.05543612
 0.03385156 0.04531759 0.04917626 0.06373701 0.38416854]",47.450279235839844,47.86867904663086
88200,-0.018668345413170754,60.92057022094727,132.67317127450977,13.450054738562091,11.587005718954249,1.1333823529411764,64.485204248366,15.94,1026.24,0.34,0.0,0.23453908801078796,"[0.06609688 0.05867507 0.06081819 0.01436952 0.18064371 0.04891993
 0.0222638  0.03904672 0.05409284 0.05926215 0.3958112 ]",44.38237380981445,43.92116165161133
