epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon
900,-0.5035362541675568,0.0,1.1883053221288515,0.0,0.0,4.205042016806723,119.5,502.5,0.0,0.03516112029007984
1000,-0.5634064111113548,0.0,1.2506993707297147,0.0,0.0,4.278478458639483,117.58,502.71,0.0,0.03381216689031278
1100,-0.6136977715045213,0.0,1.2544652343765863,0.0,0.0,4.2770705247446195,117.62,502.7,0.0,0.03251496597339412
1200,-0.7418545340001583,0.0,1.2346477195087646,0.0,0.0,4.260237800671582,118.12,502.8,0.0,0.03126753205970578
1300,-0.777568071745336,0.0,1.249370164934764,0.0,0.0,4.272222401223164,117.8,502.91,0.0,0.030067955842386935
1400,-0.9819373632967472,0.0,1.2677624153744704,0.0,0.0,4.286135581862618,117.38,502.6,0.0,0.028914401264972675
1500,-1.0118533990904688,0.0,1.262837522318039,0.0,0.0,4.2838155706999315,117.48,502.96,0.0,0.027805102711148753
1600,-1.1031118951225654,0.0,1.245582191928752,0.0,0.0,4.265738367486824,117.94,502.71,0.0,0.0267383623023211
1700,-1.2919147947430611,0.0,1.2635247880286071,0.0,0.0,4.285221056921349,117.4,502.72,0.0,0.0257125472988641
1800,-1.1602515403181315,0.0,1.2533292538233332,0.0,0.0,4.26961819816674,117.8,502.63,0.0,0.024726087601069393
1900,-1.3771137803979219,0.0,1.275545932424166,0.0,0.0,4.2925900837182285,117.22,502.8,0.0,0.023777473345970912
2000,-1.429384368211031,0.0,1.2534767630171144,0.0,0.0,4.271030825423677,117.89,503.09,0.0,0.022865252596367323
2100,-1.4222778886556626,0.0,1.237361593906318,0.0,0.0,4.251771969627472,118.38,502.95,0.0,0.02198802911850489
2200,-1.595247607473284,0.0,1.2630756813761084,0.0,0.0,4.280071072475928,117.55,502.7,0.0,0.021144460245019567
2300,-1.3841562361642719,0.0,1.268815334556475,0.0,0.0,4.283085938299559,117.55,503.13,0.0,0.02033325481986685
2400,-1.6139296011067927,0.0,1.2659714203629673,0.0,0.0,4.279470525711095,117.52,502.58,0.0,0.01955317122209454
2500,-1.5752975634718314,0.0,1.2641540255478498,0.0,0.0,4.2797959171777515,117.57,502.71,0.0,0.018803015465432962
2600,-1.504137839525938,0.0,1.274424781784256,0.0,0.0,4.288860897661858,117.35,502.97,0.0,0.018081639370794565
2700,-1.5372513170540332,0.0,1.265937100030347,0.0,0.0,4.2773588484831935,117.71,503.05,0.0,0.01738793880888506
2800,-1.4733872418524698,0.0,1.2590703587506615,0.0,0.0,4.269698768836284,117.83,502.79,0.0,0.016720852010237028
2900,-1.474994249860756,0.0,1.2649249529447248,0.0,0.0,4.276645324810406,117.72,502.98,0.0,0.016079357940078646
3000,-1.7101492806430907,0.0,1.2732846501283108,0.0,0.0,4.285392253259027,117.35,502.62,0.0,0.01546247473555057
3100,-1.546693805390969,0.0,1.269194425945597,0.0,0.0,4.281247010002923,117.56,502.82,0.0,0.014869258202878863
3200,-1.3226084306184203,0.0,1.2628483188578592,0.0,0.0,4.2731349131679375,117.78,502.91,0.0,0.014298800372203666
3300,-1.5017872189544141,0.0,1.2671947957137595,0.0,0.0,4.279386420644665,117.53,502.53,0.0,0.01375022810785186
3400,-1.4945893899700604,0.0,1.2423151341669776,0.0,0.0,4.251895972463105,118.3,502.74,0.0,0.013222701771926394
3500,-1.5495030560856684,0.0,1.2890523565444882,0.0,0.0,4.2988193762604485,117.12,503.01,0.0,0.012715413939167013
3600,-1.4853120853425934,0.0,1.2745010797202427,0.0,0.0,4.284112210687129,117.46,502.85,0.0,0.012227588161115096
3700,-1.544381810980849,0.0,1.2689401356797672,0.0,0.0,4.277794025771422,117.68,502.97,0.0,0.011758477777691349
3800,-1.5542791464738548,0.0,1.257564213150332,0.0,0.0,4.266113162839456,117.97,502.87,0.0,0.011307364774367112
3900,-1.5012391111580654,0.0,1.2628006532884408,0.0,0.0,4.271150508214202,117.81,502.88,0.0,0.010873558683180282
