epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target
0,-0.02938566915690899,69.88285064697266,9.278446601941747,1.4466019417475728,0.0,0.0,9.776699029126213,103.0,1007.0,359.0,0.0,2.3955559730529785,"[0.08209932 0.09013151 0.09431745 0.08973241 0.09686678 0.10038276
 0.08233867 0.08940858 0.08682871 0.09299207 0.09490174]",0.09523667395114899,3.8222811222076416
100,-0.059735588170588015,80.67020290374757,10.808864142303623,1.3574844223484204,0.0,0.0,6.415755162464356,161.91,1003.02,162.86,0.0,2.175370194911957,"[0.03077809 0.01476561 0.02142397 0.01800672 0.01852106 0.08988567
 0.13498852 0.14985949 0.22242703 0.22065791 0.07868588]",5.723362922668457,7.992475509643555
200,-0.18350400753319263,110.35278900146484,21.323058907029136,2.4692860122990314,0.0,0.0,6.761423160455344,149.61,1003.37,103.24,0.0,1.7845899879932403,"[0.01988167 0.01814059 0.01901019 0.01456844 0.01956313 0.15187381
 0.16784196 0.06132933 0.15910397 0.31344455 0.05524236]",8.699429512023926,13.386412620544434
300,-0.17641275778412818,133.68839111328126,30.197043540340793,3.426414564087969,0.0,0.0,7.393842775923556,135.85,1003.63,62.2,0.0,1.2252885162830354,"[0.01679089 0.01273887 0.01437637 0.01175087 0.01467219 0.13752845
 0.17037834 0.09210324 0.11940753 0.35315523 0.057098  ]",11.29509162902832,14.326147079467773
400,-0.13389768350869416,136.87603530883788,33.534067762469085,3.7847246940086667,0.0,0.0,7.694683358910312,130.54,1003.75,45.89,0.0,1.0042206645011902,"[0.01263731 0.01050916 0.01043025 0.00961595 0.01108787 0.10626031
 0.1805394  0.09445193 0.18239991 0.31723833 0.06482956]",11.761029243469238,14.147568702697754
500,-0.12046926092356443,136.99013259887695,34.92392259431442,3.933673575918632,0.0,0.0,8.041493929609091,124.97,1004.16,37.48,0.0,0.9500726526975631,"[0.01192846 0.01059705 0.01076953 0.00950518 0.01221358 0.13452333
 0.1469123  0.12132553 0.13604802 0.29597983 0.11019722]",12.509716987609863,13.19772720336914
600,-0.10390149336308241,127.90118492126464,36.98267295736553,4.155150829867666,0.0,0.0,9.352211917953463,108.21,1005.17,23.21,0.0,0.9255580204725266,"[0.00956621 0.00903206 0.00606992 0.00820745 0.0076858  0.09401895
 0.1557288  0.05879474 0.10056799 0.26360527 0.28672284]",14.361268043518066,14.556653022766113
700,-0.0834211054071784,116.89644859313965,38.515445413622935,4.329353347991004,0.0,0.0,11.196652785272983,90.14,1006.1,19.21,0.0,0.8896175104379654,"[0.01229335 0.01223224 0.00850385 0.01086067 0.01098204 0.09575062
 0.12135388 0.08885387 0.11294872 0.25249705 0.2737237 ]",12.330348014831543,14.54203987121582
800,-0.07317109218798577,113.73211242675781,39.339307482278194,4.419984191191718,0.0,0.0,11.26954367687937,89.62,1005.78,18.47,0.0,0.8545239466428757,"[0.01152467 0.01367723 0.00847803 0.01373156 0.01265467 0.08335462
 0.09840687 0.06822816 0.08640587 0.27480596 0.32873237]",15.363718032836914,14.410323143005371
900,-0.06392944765277207,115.00622596740723,40.26798149552743,4.527674635043269,0.0,0.0,12.08129527249148,83.63,1006.52,19.48,0.0,0.8529827374219895,"[0.01562207 0.02249453 0.01153502 0.02094496 0.01682272 0.10373858
 0.11543068 0.07934446 0.0654966  0.31042424 0.23814616]",14.526416778564453,16.172710418701172
