epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon
100,-14.283045972585677,-8.460734563381646,1.258092342326463,0.0,0.0,6.118701750501173,84.82,504.3,59.89,0.04999499999999986
200,-1.970223410129547,-0.32990236253581073,1.2491320186512955,0.0,0.0,5.526914266052721,91.24,503.43,3.02,0.049989999999999715
300,-1.529762214422226,-0.09192671869164334,1.272778444158695,0.0,0.0,5.51237161371785,91.48,503.54,0.84,0.04998499999999957
400,-1.157354952096939,-0.04443752193407596,1.270483402973545,0.0,0.0,5.115103358773618,98.65,503.36,0.43,0.04997999999999943
500,-0.4849052712321281,-0.007119005969254106,1.2663415000001002,0.0,0.0,4.513828676633753,111.58,502.89,0.08,0.049974999999999284
600,-0.29336692571640016,0.0,1.2583730828077395,0.0,0.0,4.314164381383223,116.59,502.65,0.0,0.04996999999999914
700,-0.39164288513362405,0.0,1.2489276315595226,0.0,0.0,4.2847038336532215,117.44,502.76,0.0,0.049964999999998996
800,-0.6069067491218447,0.0,1.2600370033206842,0.0,0.0,4.299002681244512,117.05,502.86,0.0,0.04995999999999885
