epoch,loss_pi,loss_vf,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs,avg_value,avg_target,clip_frac
121000,-0.013111759742928875,1.2869936029116313,17.146361111111112,16.781944444444445,16.575,1.1944444444444444,65.06666666666666,16.0,1041.0666666666666,0.0,0.0,0.2013743923770057,"[0.05739953 0.03678233 0.0963036  0.04979559 0.09462385 0.06735564
 0.01235784 0.09141803 0.00586162 0.11303958 0.3750624 ]",6.114448547363281,6.326210975646973,0.034514167118403646
121100,-0.013320092586800456,1.2881895363330842,17.12501769607844,16.738704248366012,16.55945343137255,1.1133382352941177,64.88840277777777,16.01,1038.63,0.0,0.0,0.2034551350772381,"[0.04240386 0.0290884  0.08340877 0.06499361 0.14342868 0.03775375
 0.01718155 0.09193859 0.0065189  0.11571258 0.36757132]",6.088916301727295,6.194480895996094,0.03464965358376503
121200,-0.01225555270910263,1.226493524312973,17.324185294117655,16.891801470588238,16.743125,1.1059926470588237,64.63132352941176,16.03,1035.96,0.13,0.0,0.1848052416741848,"[0.0425901  0.02400642 0.09474899 0.05445302 0.11705397 0.0606664
 0.01772482 0.10184824 0.0141039  0.11088503 0.36191908]",6.681512832641602,6.662473201751709,0.029604077506810426
121300,-0.011956882798112928,1.1029512757062911,17.231872794117653,16.7675,16.643860294117648,1.1916911764705882,64.68477941176471,16.01,1035.58,0.0,0.0,0.17538535460829735,"[0.04010219 0.02954451 0.10577025 0.0546637  0.1121623  0.06080098
 0.01427293 0.10018047 0.0143522  0.09872348 0.369427  ]",6.569629192352295,6.488183975219727,0.028693476701155306
121400,-0.012692498955875636,1.0298359936475754,17.525914558823537,17.01232843137255,16.93129901960784,1.119968137254902,64.78537990196078,16.03,1038.39,0.01,0.0,0.18711562171578408,"[0.04113539 0.0195636  0.10571295 0.05826336 0.11567428 0.04372319
 0.01465312 0.10243483 0.01148509 0.11570147 0.37165275]",6.131679058074951,6.292060852050781,0.03164006986655295
121500,-0.013033903958275915,1.3080109322071076,17.35604666666667,16.974208333333333,16.774208333333334,1.0712916666666665,64.95837499999999,15.99,1038.66,0.2,0.0,0.20314704418182372,"[0.0593497  0.01183142 0.10696373 0.05795927 0.1148796  0.05189725
 0.01450284 0.09494627 0.01130662 0.10528634 0.37107697]",6.254751205444336,6.343300819396973,0.03229662461206317
121600,-0.012510800673626364,1.424904666543007,17.06910107843138,16.776899509803922,16.52550245098039,1.0665588235294117,64.76422303921568,16.02,1037.35,0.01,0.0,0.19829548716545106,"[0.05059103 0.01508179 0.08919512 0.08298957 0.09264265 0.06872822
 0.00959421 0.09444304 0.00649488 0.1141075  0.37613192]",6.112098693847656,6.321047306060791,0.030113717019557954
121700,-0.012000968880020082,1.3879393562674522,17.15391102941177,16.830220588235292,16.596985294117648,1.0381985294117646,64.67841911764707,16.02,1036.1,0.09,0.0,0.19391652822494507,"[0.05249911 0.02488852 0.1045455  0.05163307 0.11239865 0.04727866
 0.01282179 0.10535531 0.01036815 0.11601498 0.36219624]",6.3857340812683105,6.239199161529541,0.030228063650429248
121800,-0.01158748183399439,1.5353358924388885,17.03666176470589,16.753970588235294,16.481176470588235,1.0421323529411763,64.419375,16.06,1034.38,0.1,0.0,0.19986747503280639,"[0.05054588 0.04402719 0.07614063 0.02943436 0.13613541 0.04674723
 0.01515902 0.10352183 0.00911275 0.12305877 0.36611697]",6.018173694610596,6.053722381591797,0.025762305380776524
121900,-0.011470033060759307,1.4516818088293075,17.120860294117655,16.798897058823528,16.540735294117646,1.0377205882352942,64.22625,16.08,1032.55,0.05,0.0,0.1952334713935852,"[0.04487634 0.01678042 0.11982077 0.04199767 0.12680128 0.06525696
 0.01517166 0.10037508 0.01255014 0.10563153 0.35073817]",6.617975234985352,6.683060169219971,0.02647122069261968
122000,-0.011612856225110591,1.4636448854207993,17.06688235294118,16.726691176470588,16.479301470588236,1.0370220588235295,64.29834558823529,16.06,1032.46,0.02,0.0,0.2013966743648052,"[0.05817657 0.01381323 0.12146999 0.05851069 0.09541713 0.04890299
 0.01357703 0.10123356 0.01047178 0.11305013 0.36537692]",6.216487407684326,6.248231410980225,0.027621867470443248
