episode:     65	 return:    2178.36	 score:    0	 fireworks:   22	 lives left:    0	 ep_len:   56	 ill moves:    0
episode:     66	 return:    2195.32	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   65	 ill moves:    6
episode:     67	 return:    1996.56	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    4
episode:     68	 return:    1598.58	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   68	 ill moves:    2
episode:     69	 return:    2079.18	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   63	 ill moves:    1
episode:     70	 return:    1998.08	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   67	 ill moves:    3
episode:     71	 return:    2295.90	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   66	 ill moves:    5
episode:     72	 return:    1997.64	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    3
episode:     73	 return:    2187.80	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   73	 ill moves:   13
episode:     74	 return:    2000.08	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:     75	 return:    1998.62	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    2
episode:     76	 return:    1781.42	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   60	 ill moves:    1
episode:     77	 return:    2095.00	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   69	 ill moves:    6
episode:     78	 return:    2293.26	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   69	 ill moves:    8
episode:     79	 return:    2396.46	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   65	 ill moves:    5
episode:     80	 return:    2392.02	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   68	 ill moves:    9
episode:     81	 return:    2397.34	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    4
episode:     82	 return:    2187.94	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   74	 ill moves:   13
episode:     83	 return:    2299.02	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   63	 ill moves:    2
episode:     84	 return:    1199.12	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   70	 ill moves:    1
episode:     85	 return:    1879.08	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   59	 ill moves:    2
episode:     86	 return:    1792.92	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   72	 ill moves:    7
episode:     87	 return:    2395.18	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   67	 ill moves:    6
