episode:     68	 return:    1900.26	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     69	 return:     599.00	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     70	 return:     598.94	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     71	 return:     395.82	 score:    0	 fireworks:    4	 lives left:    0	 ep_len:    8	 ill moves:    0
episode:     72	 return:     398.94	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:     73	 return:     298.78	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:     74	 return:      98.88	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:     75	 return:     899.64	 score:   19	 fireworks:   19	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:     76	 return:     298.80	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     77	 return:     699.54	 score:   17	 fireworks:   17	 lives left:    2	 ep_len: 1061	 ill moves: 1001
episode:     78	 return:     498.90	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:     79	 return:     999.64	 score:   10	 fireworks:   10	 lives left:    1	 ep_len:   71	 ill moves:    0
episode:     80	 return:      -1.10	 score:   10	 fireworks:   10	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:     81	 return:     598.92	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     82	 return:     298.80	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     83	 return:     498.96	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:     84	 return:     599.74	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:     85	 return:     499.18	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:     86	 return:    1500.14	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     87	 return:    1200.14	 score:   12	 fireworks:   12	 lives left:    1	 ep_len:   68	 ill moves:    0
episode:     88	 return:    1299.78	 score:   13	 fireworks:   13	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:     89	 return:     698.68	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:     90	 return:     999.82	 score:   20	 fireworks:   20	 lives left:    2	 ep_len: 1062	 ill moves: 1001
episode:     91	 return:     499.42	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:     92	 return:     298.82	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:     93	 return:     298.62	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:     94	 return:     599.02	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     95	 return:     699.14	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:     96	 return:      98.42	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:     97	 return:     599.52	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:     98	 return:    1400.14	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   70	 ill moves:    0
episode:     99	 return:    2000.80	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:    100	 return:     798.98	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    101	 return:     398.60	 score:   14	 fireworks:   14	 lives left:    2	 ep_len: 1066	 ill moves: 1001
episode:    102	 return:    1599.84	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:    103	 return:    1500.24	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:    104	 return:     398.96	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    105	 return:     398.44	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    106	 return:    1600.10	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:    107	 return:     599.30	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1062	 ill moves: 1001
episode:    108	 return:     398.14	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    109	 return:     899.42	 score:   19	 fireworks:   19	 lives left:    2	 ep_len: 1059	 ill moves: 1001
episode:    110	 return:     698.84	 score:   17	 fireworks:   17	 lives left:    2	 ep_len: 1061	 ill moves: 1001
episode:    111	 return:     599.62	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    112	 return:     399.16	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    113	 return:     499.56	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    114	 return:     298.40	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    115	 return:     699.16	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:    116	 return:     999.22	 score:   20	 fireworks:   20	 lives left:    1	 ep_len: 1055	 ill moves: 1001
episode:    117	 return:     498.86	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    118	 return:     399.42	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    119	 return:     599.28	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1064	 ill moves: 1001
episode:    120	 return:      99.28	 score:   11	 fireworks:   11	 lives left:    2	 ep_len: 1069	 ill moves: 1001
episode:    121	 return:     699.50	 score:   17	 fireworks:   17	 lives left:    2	 ep_len: 1065	 ill moves: 1001
episode:    122	 return:     499.32	 score:   15	 fireworks:   15	 lives left:    2	 ep_len: 1067	 ill moves: 1001
episode:    123	 return:     699.18	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:    124	 return:     599.28	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1064	 ill moves: 1001
episode:    125	 return:    1099.80	 score:   11	 fireworks:   11	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:    126	 return:    1400.18	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   67	 ill moves:    0
episode:    127	 return:     299.32	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:    128	 return:     399.22	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    129	 return:    1333.46	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:  530	 ill moves:  467
episode:    130	 return:      98.72	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:    131	 return:     197.98	 score:   12	 fireworks:   12	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    132	 return:      -1.42	 score:   10	 fireworks:   10	 lives left:    1	 ep_len: 1069	 ill moves: 1001
episode:    133	 return:     798.78	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    134	 return:     399.14	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    135	 return:     599.38	 score:   16	 fireworks:   16	 lives left:    2	 ep_len: 1064	 ill moves: 1001
episode:    136	 return:      98.64	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    137	 return:     999.70	 score:   20	 fireworks:   20	 lives left:    1	 ep_len: 1057	 ill moves: 1001
episode:    138	 return:     398.76	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    139	 return:     298.58	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:    140	 return:     499.46	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    141	 return:     998.92	 score:   10	 fireworks:   10	 lives left:    2	 ep_len:   71	 ill moves:    0
episode:    142	 return:     399.00	 score:   14	 fireworks:   14	 lives left:    2	 ep_len: 1066	 ill moves: 1001
episode:    143	 return:      98.10	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1070	 ill moves: 1001
episode:    144	 return:    1600.08	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:    145	 return:    1500.42	 score:   15	 fireworks:   15	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:    146	 return:     698.98	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:    147	 return:     599.56	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1059	 ill moves: 1001
episode:    148	 return:    1600.18	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   66	 ill moves:    0
episode:    149	 return:     398.72	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    150	 return:     299.22	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:    151	 return:     999.58	 score:   20	 fireworks:   20	 lives left:    1	 ep_len: 1059	 ill moves: 1001
episode:    152	 return:     398.72	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    153	 return:    1382.48	 score:   14	 fireworks:   14	 lives left:    2	 ep_len:   85	 ill moves:   18
episode:    154	 return:     197.80	 score:    0	 fireworks:    2	 lives left:    0	 ep_len:    5	 ill moves:    0
episode:    155	 return:    1600.12	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   68	 ill moves:    0
