episode:     66	 return:    1980.62	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   55	 ill moves:    0
episode:     67	 return:    1980.36	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   61	 ill moves:    0
episode:     68	 return:    2000.60	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     69	 return:    1800.44	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     70	 return:    1700.24	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:     71	 return:    2000.82	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     72	 return:    2301.02	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     73	 return:    1700.22	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     74	 return:    2100.60	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     75	 return:    1900.46	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     76	 return:    1900.22	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     77	 return:    1599.94	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     78	 return:    1700.38	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:     79	 return:    1900.46	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     80	 return:    1900.06	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     81	 return:    1900.12	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     82	 return:    1900.24	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     83	 return:    2200.78	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     84	 return:    2100.76	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:     85	 return:    2000.56	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:     86	 return:    1900.76	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     87	 return:     692.78	 score:    0	 fireworks:    7	 lives left:    0	 ep_len:   21	 ill moves:    0
episode:     88	 return:    2000.76	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:     89	 return:    1900.46	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:     90	 return:    1700.62	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:     91	 return:    1299.92	 score:   13	 fireworks:   13	 lives left:    2	 ep_len:   69	 ill moves:    0
episode:     92	 return:    2000.62	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   61	 ill moves:    0
episode:     93	 return:    1900.72	 score:   19	 fireworks:   19	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:     94	 return:    1700.16	 score:   17	 fireworks:   17	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:     95	 return:    1781.94	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   48	 ill moves:    0
episode:     96	 return:    1900.70	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:     97	 return:    2301.00	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:     98	 return:    1900.36	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:     99	 return:    1782.58	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   55	 ill moves:    0
episode:    100	 return:    1600.76	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:    101	 return:    1800.58	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:    102	 return:    2001.04	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   64	 ill moves:    0
episode:    103	 return:    1584.18	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   58	 ill moves:    0
episode:    104	 return:    1900.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:    105	 return:    1980.58	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   60	 ill moves:    0
episode:    106	 return:    1800.26	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:    107	 return:    2100.28	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:    108	 return:    1683.24	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   56	 ill moves:    0
episode:    109	 return:    2100.38	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:    110	 return:    1900.10	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:    111	 return:    1682.50	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   58	 ill moves:    0
episode:    112	 return:    2001.04	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:    113	 return:    2200.70	 score:   22	 fireworks:   22	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:    114	 return:    2100.66	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   62	 ill moves:    0
episode:    115	 return:    1699.72	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   64	 ill moves:    0
episode:    116	 return:    2101.06	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   60	 ill moves:    0
episode:    117	 return:    1900.50	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   66	 ill moves:    0
episode:    118	 return:    2099.78	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:    119	 return:    1800.56	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:    120	 return:    1800.42	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   64	 ill moves:    0
episode:    121	 return:    1900.62	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:    122	 return:    1699.62	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   65	 ill moves:    0
episode:    123	 return:    1683.12	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   48	 ill moves:    0
episode:    124	 return:    2000.46	 score:   20	 fireworks:   20	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:    125	 return:    2000.96	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   60	 ill moves:    0
episode:    126	 return:    1900.74	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   65	 ill moves:    0
episode:    127	 return:    1584.28	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   46	 ill moves:    0
episode:    128	 return:    2100.68	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   63	 ill moves:    0
episode:    129	 return:    1800.46	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   63	 ill moves:    0
episode:    130	 return:    1900.16	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   63	 ill moves:    0
episode:    131	 return:    1900.50	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   62	 ill moves:    0
