epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
556500,-0.03708702742799439,12.31745454545455,12.37878787878788,12.333333333333332,1.3454545454545452,70.11515151515151,15.0,1051.7272727272727,0.0,0.0,0.5107557380741293,"[0.08055691 0.10461125 0.11545438 0.07825736 0.03154697 0.06434294
 0.08028843 0.00573853 0.04593173 0.00956938 0.38370213]"
556600,-0.027609828845597803,12.027666666666669,12.326666666666664,12.078,1.2326666666666666,69.52466666666666,15.0,1042.87,0.02,0.0,0.47593485832214355,"[0.05573048 0.16027369 0.12135153 0.04450426 0.01033982 0.05287342
 0.074341   0.01396056 0.03992395 0.00883316 0.4178681 ]"
556700,-0.02146522356197238,12.093552500000005,12.232958333333336,12.148791666666668,1.5406666666666666,69.58079166666667,15.03,1045.68,0.1,0.0,0.4434408500790596,"[0.07467078 0.11988452 0.12291858 0.05239809 0.0188412  0.07184498
 0.08231364 0.00294326 0.04514231 0.00588812 0.40315452]"
556800,-0.015636294346768408,11.896380000000004,12.234375,11.955875,1.0793333333333333,68.9405,15.01,1034.76,0.1,0.0,0.4516309377551079,"[0.06225206 0.11463352 0.11716738 0.07040453 0.01933977 0.07739772
 0.08008698 0.00288747 0.03946086 0.0105871  0.40578264]"
556900,-0.027133011049591003,12.230386666666673,12.293333333333333,12.25333333333333,1.1873333333333334,69.17399999999999,15.0,1037.61,0.11,0.0,0.45947195053100587,"[0.04266155 0.15281023 0.10742344 0.05843781 0.02557198 0.0493335
 0.0755069  0.00669555 0.04919984 0.00958632 0.42277288]"
557000,-0.02670268921647221,12.202946666666671,12.267333333333331,12.244666666666667,1.4486666666666665,69.43466666666667,15.0,1041.52,0.14,0.0,0.41839624524116514,"[0.05092797 0.14939952 0.11789101 0.06379897 0.01252531 0.04393734
 0.0784662  0.01275253 0.0436753  0.00961036 0.41701546]"
557100,-0.03487420060439035,12.20666666666667,12.311333333333332,12.226,1.4293333333333333,69.59733333333332,15.0,1043.96,0.03,0.0,0.4329205471277237,"[0.04849655 0.12504508 0.0934342  0.07564174 0.02837369 0.07440726
 0.07960705 0.01269349 0.04487891 0.00877958 0.40864244]"
557200,-0.033619396218564364,12.091200000000004,12.250666666666667,12.120666666666668,1.1953333333333331,69.124,15.0,1036.86,0.06,0.0,0.4473793062567711,"[0.04590939 0.15289588 0.1079331  0.06948286 0.00973531 0.0575507
 0.07964512 0.01091426 0.04482765 0.00742965 0.41367608]"
557300,-0.044114674581214784,12.180159166666671,12.298333333333336,12.209250000000003,1.3293749999999998,69.41962500000001,15.02,1042.61,0.05,0.0,0.4714207398891449,"[0.04352403 0.15092932 0.12077015 0.05511714 0.02207941 0.07327527
 0.08081031 0.01277729 0.03471553 0.00867888 0.39732268]"
557400,-0.02892629408976063,12.35170666666667,12.379333333333333,12.363999999999999,1.3313333333333333,69.34466666666667,15.0,1040.17,0.07,0.0,0.4419302096962929,"[0.06917355 0.12961243 0.12442099 0.04097358 0.02431908 0.07708535
 0.08130252 0.00966974 0.03839403 0.01065882 0.3943899 ]"
557500,-0.02084694756194949,12.091800833333341,12.234047619047622,12.177339285714288,1.1759583333333332,68.82614285714286,15.0,1032.32,0.74,0.0,0.39580197900533676,"[0.0767884  0.09367499 0.13633339 0.0502082  0.0340021  0.06446214
 0.07734646 0.00725079 0.04447114 0.01065589 0.40480652]"
557600,-0.014208532590419053,12.261853333333338,12.320541666666667,12.306000000000001,1.2765416666666667,68.809125,15.01,1032.79,0.2,0.0,0.38611255258321764,"[0.072067   0.09836602 0.10839525 0.03267956 0.07743559 0.05918249
 0.07861476 0.00995908 0.04373686 0.01166185 0.40790153]"
557700,-0.0019671439891681074,11.783682857142862,12.014190476190477,11.88552380952381,1.2473333333333332,68.87433333333333,14.99,1032.4,0.63,0.0,0.37078503251075745,"[0.04296923 0.13311923 0.09632875 0.05362424 0.06204127 0.07056776
 0.07903554 0.0107029  0.04305284 0.0109669  0.39759132]"
557800,-0.00949365563923493,11.802135000000005,12.038208333333335,11.876333333333335,1.079333333333333,68.52087499999999,15.01,1028.46,0.27,0.0,0.3702115651965141,"[0.05795604 0.14285018 0.09635329 0.05799445 0.04090292 0.05958391
 0.07679775 0.00989316 0.04417029 0.01193023 0.40156782]"
557900,0.0019935476500540974,11.74577333333334,11.99,11.857999999999999,1.1126666666666665,68.55,15.0,1028.25,0.51,0.0,0.3393548545241356,"[0.04068697 0.17186315 0.10401969 0.04957635 0.01913337 0.06643502
 0.06991962 0.00841784 0.04975611 0.0107317  0.40946013]"
558000,0.0046556477295234796,11.82346666666667,12.058666666666667,11.945333333333336,1.1193333333333333,68.53266666666666,15.0,1027.99,0.64,0.0,0.3433255761861801,"[0.04414911 0.14461024 0.10360967 0.09727981 0.02029247 0.05450335
 0.07768568 0.01124397 0.04146456 0.01060753 0.39455357]"
558100,0.0012159972661174834,11.829267500000006,12.170499999999999,11.906333333333334,1.0532916666666665,68.29041666666666,15.02,1025.65,0.3,0.0,0.38218550384044647,"[0.0471622  0.12892532 0.1078783  0.07350836 0.03790709 0.04967132
 0.07849053 0.00873397 0.04158607 0.01308772 0.41304913]"
558200,-0.009890382457524539,11.654000000000003,12.070666666666668,11.698666666666668,1.0606666666666664,68.64866666666667,15.0,1029.73,0.06,0.0,0.4280217599868774,"[0.05524804 0.13589257 0.10751273 0.06078059 0.0379275  0.07927299
 0.07187169 0.0178647  0.03673922 0.01003899 0.386851  ]"
558300,-0.010017540056724101,11.61874666666667,11.952,11.676666666666666,1.0373333333333334,68.65866666666666,15.0,1029.88,0.2,0.0,0.4069491869211197,"[0.04673711 0.12034788 0.12369318 0.0718751  0.03732675 0.05750326
 0.07992352 0.00989098 0.04485223 0.00907483 0.3987752 ]"
558400,-0.013164616883732378,11.208166666666672,12.210958333333332,11.244708333333335,0.9705416666666664,68.20595833333334,15.04,1025.74,0.15,0.0,0.4008236247301102,"[0.03989206 0.11853983 0.10882046 0.05433232 0.0485074  0.07323033
 0.07613625 0.0110573  0.04648286 0.0109046  0.41209662]"
558500,-0.003604610457550734,11.203466666666671,12.03,11.274666666666667,0.9580000000000001,68.37533333333334,15.0,1025.63,0.2,0.0,0.3917157170176506,"[0.05976817 0.10449357 0.13436463 0.06175354 0.02862411 0.06403309
 0.07148689 0.0106816  0.04986043 0.01186864 0.40306532]"
558600,-0.007335934918373823,12.11866833333334,12.228416666666664,12.191833333333332,1.2158333333333333,68.65529166666667,15.01,1030.49,0.13,0.0,0.4029745095968246,"[0.07119859 0.10809313 0.09671189 0.08395321 0.02324442 0.05560562
 0.08114    0.01155097 0.04689518 0.00484497 0.41676202]"
558700,-0.050255801908206194,11.466508571428578,11.570761904761902,11.569428571428569,2.0968095238095237,70.61466666666666,14.76,1042.0,0.04,0.0,0.4428495854139328,"[0.0781626  0.10065914 0.09117908 0.10967415 0.01945885 0.02957073
 0.07843502 0.00840013 0.04153545 0.01031331 0.43261155]"
558800,-0.03676254552789032,12.244060000000001,12.309666666666665,12.29525,1.3645416666666663,68.86891666666665,15.01,1033.69,0.16,0.0,0.40900074273347853,"[0.07714356 0.09440468 0.13022976 0.07980715 0.01409436 0.07203002
 0.08147808 0.01273121 0.03532132 0.01072144 0.39203843]"
558900,-0.02134085774887353,12.18853333333334,12.253333333333332,12.253333333333332,1.5760000000000003,69.32533333333333,15.0,1039.88,0.07,0.0,0.43668893456459046,"[0.06815746 0.11088768 0.13034478 0.06448995 0.02085799 0.05566202
 0.07536557 0.00957434 0.048109   0.0087649  0.40778634]"
559000,-0.019577631533611566,12.19308666666667,12.267166666666666,12.252583333333334,1.4432916666666664,69.133375,15.01,1037.65,0.06,0.0,0.4413306584954262,"[0.07530001 0.12021382 0.12654865 0.08272657 0.0111324  0.05230842
 0.07813587 0.01070035 0.03820952 0.00909416 0.39563027]"
559100,-0.00649440023349598,11.66112583333334,12.081583333333333,11.746041666666665,1.0374166666666667,68.58149999999999,15.03,1030.71,0.08,0.0,0.436557354927063,"[0.05803756 0.12124169 0.12383698 0.06028876 0.01454756 0.07076885
 0.0844741  0.00977615 0.04648869 0.00947811 0.40106156]"
559200,0.00582650309894234,12.140775833333336,12.31375,12.234541666666665,1.2099166666666665,68.45537499999999,15.01,1027.48,0.17,0.0,0.39446698635816574,"[0.07319276 0.10415762 0.13788754 0.06594152 0.01194893 0.07555612
 0.07689146 0.0047568  0.04946568 0.01294006 0.38726145]"
559300,-0.0029459330008830874,12.116054166666672,12.247625000000001,12.229958333333332,1.3219999999999998,68.663,15.02,1031.26,0.22,0.0,0.38697356313467024,"[0.09441082 0.11134108 0.1374634  0.0440798  0.0090864  0.05759004
 0.07736202 0.0115395  0.04852786 0.00870746 0.39989164]"
559400,-0.007979750002268702,11.688726666666671,12.23316666666667,11.788875000000003,1.0308333333333333,68.35029166666668,15.01,1025.9,0.23,0.0,0.39956408441066743,"[0.09714427 0.07007278 0.12756608 0.07759194 0.0124637  0.06246936
 0.07696214 0.00586513 0.04692085 0.00915133 0.4137924 ]"
559500,-0.021141362991183996,11.713791666666669,12.108833333333335,11.820041666666667,1.0454166666666667,68.556875,15.02,1029.66,0.11,0.0,0.4189573749899864,"[0.08213338 0.09369371 0.1402694  0.06457055 0.02014853 0.05762502
 0.07971617 0.00872156 0.04820702 0.00983765 0.39507702]"
559600,-0.013501369582954795,11.601000000000004,12.154666666666664,11.706,1.0193333333333332,68.51466666666666,15.0,1027.72,0.12,0.0,0.4212631285190582,"[0.08886167 0.08868719 0.11169159 0.07841644 0.02555081 0.06806307
 0.07976788 0.00875048 0.052508   0.00584487 0.391858  ]"
559700,-0.02593971706693992,12.201331666666672,12.304875,12.27908333333333,1.3723750000000001,68.954,15.02,1035.62,0.19,0.0,0.4310221329331398,"[0.07760224 0.08784953 0.13057536 0.08446681 0.01507071 0.06195515
 0.07510231 0.00472873 0.04329836 0.01333333 0.40601748]"
