epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
0,-11.506091117858887,-6.492374727668845,1.2549019607843137,0.0,0.0,8.729847494553377,459.0,4007.0,1490.0,0.0,2.3869526386260986,"[0.09195374 0.07732639 0.0710277  0.11341449 0.07901228 0.094985
 0.09928653 0.10175093 0.07952392 0.10567874 0.08604028]"
50,-4.350318443775177,-1.7215959503101228,1.2337480446071845,0.0,0.0,6.33306793196667,645.4,4003.44,473.42,0.0,2.098785548210144,"[0.00247598 0.00250112 0.00247049 0.00349025 0.00186428 0.15712747
 0.10830002 0.16432641 0.13571545 0.17575566 0.2459729 ]"
100,-1.6834126234054565,-0.04557909091197322,1.2527500370725824,0.0,0.0,5.344576607290529,749.5,4002.18,16.96,0.0,1.8237637424468993,"[0.00095782 0.00096698 0.00094682 0.00134712 0.00069144 0.18793638
 0.15870506 0.15222436 0.12012678 0.20721808 0.16887915]"
150,-1.6349635791778565,-0.023842102012622907,1.2478976613462387,0.0,0.0,5.161397745221034,775.58,4002.16,9.24,0.0,1.8110522270202636,"[0.00057117 0.00059579 0.00057489 0.00079389 0.00043268 0.17257848
 0.15495305 0.1660999  0.20092139 0.14387812 0.15860064]"
200,-1.6210758256912232,-0.015714136098972736,1.2550492225182515,0.0,0.0,5.109441715949386,783.5,4002.16,6.16,0.0,1.8050693702697753,"[0.00045687 0.00046613 0.00043838 0.00061378 0.00033748 0.15256217
 0.15987    0.1654337  0.16182166 0.17335281 0.18464701]"
250,-1.6006181406974793,-0.012067949407389738,1.2493837556637393,0.0,0.0,5.342997382177434,749.68,4002.7,4.52,0.0,1.7972625946998597,"[0.00038006 0.0003832  0.00035693 0.00050122 0.00026127 0.16993386
 0.14936338 0.17846476 0.14875445 0.18596955 0.16563134]"
300,-1.601481966972351,-0.01081846987290132,1.252250133410814,0.0,0.0,5.250640935116177,763.02,4003.04,4.14,0.0,1.7969550967216492,"[0.00027179 0.0002892  0.00025491 0.00039066 0.00020472 0.14655441
 0.15027383 0.18583585 0.17095014 0.16467941 0.18029504]"
350,-1.6017453455924988,-0.0084344313135826,1.2517926634875598,0.0,0.0,5.216083821264815,767.68,4002.24,3.24,0.0,1.7966222548484803,"[2.0735565e-04 2.3507801e-04 2.1188470e-04 3.2740363e-04 1.6975858e-04
 1.6621791e-01 1.6348051e-01 1.8638343e-01 1.7450924e-01 1.5497945e-01
 1.5327798e-01]"
400,-1.5867920517921448,-0.0065963017624611564,1.2473991061819993,0.0,0.0,5.166186068830988,775.52,4002.46,2.56,0.0,1.7945644116401673,"[1.6392743e-04 1.9205632e-04 1.6095095e-04 2.8848290e-04 1.4353178e-04
 1.5309621e-01 1.8196519e-01 1.4143699e-01 1.4129578e-01 1.8224210e-01
 1.9901478e-01]"
450,-1.600092716217041,-0.005961718645070748,1.2671102997488055,0.0,0.0,5.2517070050161525,762.64,4002.1,2.28,0.0,1.7903343105316163,"[1.4029528e-04 1.4444985e-04 1.4882027e-04 2.4279802e-04 1.3034741e-04
 1.6700150e-01 1.2922914e-01 1.6451104e-01 1.4902508e-01 1.6268644e-01
 2.2674009e-01]"
