epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
0,-56.081634521484375,-36.58536585365854,1.1751662971175165,0.0,0.0,8.869179600886918,451.0,4000.0,1650.0,0.0,2.385235071182251,"[0.10244866 0.09342595 0.09685716 0.07470561 0.08678647 0.09356678
 0.09479601 0.07891236 0.10989623 0.10096445 0.06764033]"
50,-22.112548923492433,-13.494756504550198,1.2336340781090331,0.0,0.0,6.431722426368949,639.9,4002.72,762.64,0.0,2.2213393878936767,"[0.01305748 0.01384437 0.00953627 0.0085738  0.01147599 0.18104145
 0.13502717 0.12657025 0.22502173 0.15090038 0.12495111]"
100,-2.7621842193603516,-0.8495750676426822,1.2484172868051246,0.0,0.0,5.226088137121539,765.98,4002.2,65.34,0.0,1.8732978320121765,"[0.00306947 0.00317982 0.00224624 0.00200667 0.00259251 0.17680117
 0.12170387 0.11599934 0.23318143 0.14525644 0.19396302]"
150,-1.8357180380821227,-0.28870241559484744,1.2487632054552347,0.0,0.0,5.583018921191383,717.4,4002.88,20.76,0.0,1.797695083618164,"[0.00167861 0.00170142 0.00123485 0.00107564 0.00137488 0.1621256
 0.11173688 0.1049566  0.22128409 0.13521725 0.2576142 ]"
200,-1.661325876712799,-0.16496019993776287,1.2488983435256735,0.0,0.0,5.72480181189977,699.32,4002.56,11.54,0.0,1.7629912352561952,"[0.00110095 0.0011423  0.00084599 0.00070578 0.00090925 0.16743249
 0.1085673  0.09788436 0.24651548 0.13278641 0.2421097 ]"
250,-1.5463446140289308,-0.11389988467440078,1.235360744484282,0.0,0.0,5.56948103294946,718.82,4002.62,8.18,0.0,1.7485105395317078,"[0.00079643 0.00080742 0.00060985 0.00050948 0.00065944 0.17663845
 0.10914319 0.09242708 0.26108715 0.1241486  0.23317288]"
300,-1.5045352816581725,-0.08877915024908234,1.248908172379752,0.0,0.0,5.594410748761095,715.64,4002.76,6.34,0.0,1.7249301671981812,"[0.00058254 0.00057699 0.00044706 0.00036174 0.00047366 0.18753654
 0.09962644 0.08321659 0.28071943 0.11392418 0.23253478]"
350,-1.4424558186531067,-0.06295597230988922,1.2483508469041287,0.0,0.0,5.4737978123343325,731.48,4003.22,4.6,0.0,1.7022796869277954,"[4.5959817e-04 4.5459429e-04 3.5774193e-04 2.8098273e-04 3.6765321e-04
 1.8769869e-01 9.2123240e-02 7.7964909e-02 3.0502021e-01 1.1879079e-01
 2.1648160e-01]"
400,-1.4289184069633485,-0.05559540797927304,1.2565053984840173,0.0,0.0,5.38101228373703,744.02,4002.62,4.14,0.0,1.6830747079849244,"[3.6227846e-04 3.5251051e-04 2.7811460e-04 2.1855104e-04 2.8936990e-04
 1.8863414e-01 9.0746731e-02 7.5852938e-02 3.3399570e-01 1.1432700e-01
 1.9494270e-01]"
450,-1.372449824810028,-0.04243511228273397,1.2416530119991285,0.0,0.0,5.260801055093939,761.0,4002.62,3.22,0.0,1.657258584499359,"[2.8673105e-04 2.8031846e-04 2.2006279e-04 1.7326458e-04 2.2724514e-04
 1.8757176e-01 8.1404239e-02 7.4867137e-02 3.6009786e-01 1.1772564e-01
 1.7714573e-01]"
500,-1.3355412268638611,-0.03551872480404598,1.2498406743932606,0.0,0.0,5.192833657448698,771.04,4002.82,2.74,0.0,1.6289196634292602,"[2.2601477e-04 2.1666332e-04 1.7271558e-04 1.3840705e-04 1.7632284e-04
 1.5897021e-01 7.4677505e-02 6.9039449e-02 3.9054155e-01 1.1763000e-01
 1.8821114e-01]"
550,-1.280886354446411,-0.03028900078809734,1.2532329750828544,0.0,0.0,5.310215901038889,753.92,4002.52,2.28,0.0,1.5704311394691468,"[1.7873538e-04 1.6981403e-04 1.3900950e-04 1.0904903e-04 1.3818780e-04
 1.2005749e-01 6.7775086e-02 6.0750093e-02 4.4127789e-01 1.0276999e-01
 2.0663461e-01]"
600,-1.2169485378265381,-0.02293047339699402,1.2631809614794678,0.0,0.0,5.330577736720085,751.02,4002.46,1.72,0.0,1.4983041071891785,"[1.46907085e-04 1.37424024e-04 1.15081573e-04 9.02589891e-05
 1.14231305e-04 1.25556007e-01 5.92799857e-02 5.29502481e-02
 4.63728338e-01 9.66575816e-02 2.01223925e-01]"
650,-1.1985934925079347,-0.01868543988734902,1.2443287186793877,0.0,0.0,5.290545608162951,756.74,4002.52,1.42,0.0,1.500258777141571,"[1.3390584e-04 1.2327777e-04 1.0353157e-04 8.1436541e-05 1.0038286e-04
 1.5031025e-01 5.9698537e-02 5.4275773e-02 4.4680873e-01 9.9328548e-02
 1.8903567e-01]"
700,-1.214999647140503,-0.01891896114504453,1.260816897626027,0.0,0.0,5.277764604915567,758.6,4003.12,1.44,0.0,1.5108347010612488,"[1.1276057e-04 1.0547134e-04 8.7478889e-05 7.0159927e-05 8.5275962e-05
 1.3576092e-01 5.9643861e-02 5.3497855e-02 4.7620687e-01 8.2792960e-02
 1.9163635e-01]"
750,-1.1657028412818908,-0.01586550343483177,1.259015145424773,0.0,0.0,5.282755670491802,757.78,4002.46,1.2,0.0,1.4460248970985412,"[9.3913433e-05 8.7866334e-05 7.1747279e-05 5.8664249e-05 7.0845883e-05
 1.3019058e-01 5.2711811e-02 4.8035011e-02 5.1184493e-01 6.7257024e-02
 1.8957764e-01]"
800,-1.1121839094161987,-0.012338574383939134,1.254736613108307,0.0,0.0,5.248923281483165,762.66,4002.52,0.94,0.0,1.393546724319458,"[8.1546619e-05 7.8611600e-05 6.3637934e-05 5.2813903e-05 6.3789383e-05
 1.1789742e-01 5.1777825e-02 4.9138650e-02 5.2693540e-01 6.6052787e-02
 1.8785752e-01]"
