epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon,entropy,avg_probs
0,-10.974193572998047,-6.366812227074236,1.1877729257641922,0.0,0.0,8.737991266375547,458.0,4002.0,1458.0,0.0,2.3906075954437256,"[0.08908795 0.0950088  0.07391618 0.08358914 0.09292636 0.08325257
 0.09647183 0.1022047  0.09038261 0.10251911 0.09064075]"
50,-5.048231019973755,-2.302790740681597,1.2495271137193198,0.0,0.0,6.704308997694324,607.84,4004.2,632.52,0.0,2.213159363269806,"[0.00970225 0.01180729 0.0114873  0.01051019 0.01278962 0.10519961
 0.12992899 0.20479678 0.15431894 0.14145473 0.20800431]"
100,-1.6447967600822448,-0.16097466823161224,1.2441318308226146,0.0,0.0,6.081680675022633,659.08,4003.4,53.64,0.0,1.844955904483795,"[0.00262987 0.00323114 0.00324954 0.00285849 0.00353044 0.08435335
 0.12364987 0.20067935 0.13807261 0.12796514 0.3097802 ]"
150,-1.4841117429733277,-0.06480249328092028,1.2625740043051055,0.0,0.0,6.153332737459003,650.88,4003.6,21.04,0.0,1.7696902108192445,"[0.00154607 0.00182948 0.00185293 0.0016218  0.00201821 0.09818738
 0.12683459 0.22033677 0.12841514 0.13484462 0.28251305]"
200,-1.4418899726867676,-0.040478378899885106,1.269357691897455,0.0,0.0,5.874006329975503,681.78,4002.8,13.76,0.0,1.7517034792900086,"[0.00094508 0.00113055 0.00109629 0.00100959 0.00127944 0.08163741
 0.13106695 0.2664942  0.12081017 0.1435112  0.25101906]"
250,-1.4044974303245545,-0.027701303778211925,1.2571423018567844,0.0,0.0,5.747178688921641,696.92,4002.68,9.62,0.0,1.745077760219574,"[0.0006576  0.00078011 0.00074189 0.00066739 0.00090623 0.08309276
 0.18560685 0.24930164 0.11083189 0.12607257 0.24134108]"
300,-1.3768711328506469,-0.01929349772571213,1.255702126829461,0.0,0.0,5.725777655277248,699.38,4003.1,6.74,0.0,1.72917715549469,"[0.00048749 0.00058036 0.00054125 0.00050572 0.0006951  0.08900216
 0.18326032 0.25737473 0.10723475 0.11567978 0.24463832]"
350,-1.3251201009750366,-0.01378559684581209,1.2514842410940894,0.0,0.0,5.6508393804942445,708.54,4002.76,4.88,0.0,1.6859784388542176,"[3.4336917e-04 4.1679651e-04 3.7979550e-04 3.6258181e-04 4.8741794e-04
 8.6935863e-02 1.1477736e-01 3.5657278e-01 7.7673495e-02 9.8742172e-02
 2.6330835e-01]"
400,-1.2533217453956604,-0.011863690535170142,1.2665907887888246,0.0,0.0,5.7776326321946465,694.36,4002.62,4.08,0.0,1.579961748123169,"[2.5007559e-04 3.0506545e-04 2.8210587e-04 2.6358239e-04 3.5024993e-04
 8.3088681e-02 9.2620514e-02 4.7221258e-01 7.5120308e-02 7.3560372e-02
 2.0194645e-01]"
450,-1.194537377357483,-0.008404106186392148,1.2692537333359875,0.0,0.0,5.5567550686455185,720.7,4002.32,3.02,0.0,1.5045393776893616,"[1.95257191e-04 2.49988778e-04 2.19419584e-04 2.03841497e-04
 2.72129633e-04 6.66163489e-02 1.13184735e-01 4.67896014e-01
 6.91209584e-02 5.45263775e-02 2.27514938e-01]"
