epoch,loss,returns,fireworks,scores,lives,epi_length,num_epis,batch_size,illegal_moves,epsilon
392100,-0.046173419282936,0.0,2.489694884246344,0.0,0.0,5.490334572745858,91.61764705882354,502.61764705882354,0.0,0.0
392200,-0.04095914919860661,0.0,2.475698196103419,0.0,0.0,5.4764547157106,91.88,502.59,0.0,0.0
392300,-0.036145658781751994,0.0,2.4490207581237002,0.0,0.0,5.449773313817826,92.29,502.51,0.0,0.0
392400,-0.03921091251075268,0.0,2.531894822915112,0.0,0.0,5.532577687111422,90.95,502.59,0.0,0.0
392500,-0.044325189711526033,0.0,2.5585818382128034,0.0,0.0,5.559025501482296,90.48,502.49,0.0,0.0
392600,-0.04170070095919073,0.0,2.5622851055395683,0.0,0.0,5.563393212482054,90.39,502.57,0.0,0.0
392700,-0.04534653514623642,0.0,2.6130546654503757,0.0,0.0,5.613272056754723,89.66,502.8,0.0,0.0
392800,-0.0482069378811866,0.0,2.6923220307698523,0.0,0.0,5.692651807312026,88.41,502.74,0.0,0.0
392900,-0.04581841169856489,0.0,2.682959505111612,0.0,0.0,5.683418327898022,88.56,502.79,0.0,0.0
393000,-0.05120805660262704,0.0,2.7756647130986156,0.0,0.0,5.776009914127451,87.09,502.53,0.0,0.0
393100,-0.05060934832319617,0.0,2.7611992593765007,0.0,0.0,5.761548313604933,87.37,502.84,0.0,0.0
393200,-0.048665857790037986,0.0,2.7443629232118427,0.0,0.0,5.744480570270665,87.58,502.48,0.0,0.0
393300,-0.05216637782752514,0.0,2.7833430024676984,0.0,0.0,5.783914070288768,87.05,502.82,0.0,0.0
393400,-0.05470461505465209,0.0,2.8895044992165824,0.0,0.0,5.889622146275405,85.4,502.58,0.0,0.0
393500,-0.05117843233048916,0.0,2.8018097669418336,0.0,0.0,5.801920878052943,86.72,502.67,0.0,0.0
393600,-0.05208407266065478,0.0,2.818106071177864,0.0,0.0,5.8183248137071475,86.47,502.69,0.0,0.0
393700,-0.051188707491382955,0.0,2.802890030268263,0.0,0.0,5.803011981487776,86.77,502.99,0.0,0.0
393800,-0.054029875248670575,0.0,2.7980952497890565,0.0,0.0,5.798211528858823,86.81,502.76,0.0,0.0
393900,-0.04977345088496804,0.0,2.7549898786111213,0.0,0.0,5.755104821139855,87.44,502.65,0.0,0.0
394000,-0.049111761283129454,0.0,2.6971725945633733,0.0,0.0,5.697284954113935,88.27,502.36,0.0,0.0
394100,-0.04543027298524976,0.0,2.5969521328276453,0.0,0.0,5.596952132827646,89.94,502.89,0.0,0.0
394200,-0.042828894266858694,0.0,2.612996867639387,0.0,0.0,5.613240770078412,89.61,502.52,0.0,0.0
394300,-0.0475747325271368,0.0,2.6662788324923543,0.0,0.0,5.666278832492354,88.8,502.61,0.0,0.0
394400,-0.0494696388207376,0.0,2.7359923409839064,0.0,0.0,5.736446055978439,87.75,502.62,0.0,0.0
394500,-0.04848122961819172,0.0,2.740472492512481,0.0,0.0,5.74047249251248,87.71,502.94,0.0,0.0
394600,-0.05330076104030013,0.0,2.797588700077739,0.0,0.0,5.797588700077738,86.77,502.57,0.0,0.0
394700,-0.050396070964634415,0.0,2.7823326725662105,0.0,0.0,5.78268561374268,86.97,502.45,0.0,0.0
394800,-0.04546040415763855,0.0,2.6899565612492182,0.0,0.0,5.689956561249219,88.4,502.44,0.0,0.0
394900,-0.04767399991862476,0.0,2.636530756457223,0.0,0.0,5.6367568100970695,89.28,502.64,0.0,0.0
395000,-0.04264889232814312,0.0,2.5834029970934425,0.0,0.0,5.583402997093443,90.09,502.5,0.0,0.0
395100,-0.04077994966879487,0.0,2.566288378370234,0.0,0.0,5.566515768551113,90.38,502.53,0.0,0.0
395200,-0.04524214686825871,0.0,2.596061439547123,0.0,0.0,5.596179086605947,89.82,502.15,0.0,0.0
395300,-0.039510655887424945,0.0,2.5443284495169993,0.0,0.0,5.544328449517,90.72,502.48,0.0,0.0
395400,-0.037536226594820615,0.0,2.51170039684589,0.0,0.0,5.511700396845889,91.21,502.31,0.0,0.0
395500,-0.037141754003241656,0.0,2.4366567178132055,0.0,0.0,5.436656717813207,92.49,502.37,0.0,0.0
395600,-0.03871018695179373,0.0,2.5165677263318,0.0,0.0,5.516567726331798,91.2,502.63,0.0,0.0
395700,-0.03617510608397424,0.0,2.516894489364052,0.0,0.0,5.517009431892789,91.18,502.62,0.0,0.0
395800,-0.03787522264756262,0.0,2.4657743166196946,0.0,0.0,5.465774316619694,92.09,502.73,0.0,0.0
395900,-0.03892384104430675,0.0,2.4540532543380245,0.0,0.0,5.4540532543380245,92.15,502.21,0.0,0.0
396000,-0.03805967948399484,0.0,2.502693070607526,0.0,0.0,5.502693070607527,91.42,502.52,0.0,0.0
396100,-0.043933159522712234,0.0,2.540199914520186,0.0,0.0,5.540199914520186,90.78,502.39,0.0,0.0
396200,-0.04710760177113116,0.0,2.552566156956817,0.0,0.0,5.552566156956817,90.64,502.78,0.0,0.0
396300,-0.042643344700336455,0.0,2.5756856409277025,0.0,0.0,5.575685640927702,90.2,502.42,0.0,0.0
396400,-0.041920333551242944,0.0,2.5469302292166973,0.0,0.0,5.546930229216697,90.67,502.33,0.0,0.0
396500,-0.040978805324994025,0.0,2.4814715115691985,0.0,0.0,5.481471511569199,91.71,502.14,0.0,0.0
396600,-0.03648836945183575,0.0,2.527873516166058,0.0,0.0,5.527873516166057,91.0,502.54,0.0,0.0
396700,-0.04159069392830134,0.0,2.5012465327839446,0.0,0.0,5.501246532783945,91.45,502.61,0.0,0.0
396800,-0.044851076239719984,0.0,2.579976721964113,0.0,0.0,5.579976721964113,90.23,503.07,0.0,0.0
396900,-0.046943840580061076,0.0,2.6005132343754607,0.0,0.0,5.6005132343754624,89.81,502.44,0.0,0.0
397000,-0.04115024029277265,0.0,2.4893115215591757,0.0,0.0,5.489311521559176,91.67,502.72,0.0,0.0
397100,-0.04719473209232092,0.0,2.556931472300781,0.0,0.0,5.556931472300781,90.57,502.83,0.0,0.0
397200,-0.05286074405536056,0.0,2.6615494762839615,0.0,0.0,5.661661835834521,88.87,502.67,0.0,0.0
397300,-0.04506417012773454,0.0,2.6586915489402116,0.0,0.0,5.658691548940213,88.9,502.47,0.0,0.0
397400,-0.05048675196245313,0.0,2.7106016932292896,0.0,0.0,5.710947857356529,88.11,502.65,0.0,0.0
397500,-0.05081260643899441,0.0,2.7076777196481485,0.0,0.0,5.7076777196481485,88.15,502.65,0.0,0.0
397600,-0.05759680449962616,0.0,2.7721303009150358,0.0,0.0,5.772130300915036,87.14,502.45,0.0,0.0
397700,-0.0592734600417316,0.0,2.7874030792436093,0.0,0.0,5.78740307924361,86.9,502.35,0.0,0.0
397800,-0.05892938191071153,0.0,2.744249715546211,0.0,0.0,5.7442497155462116,87.62,502.71,0.0,0.0
397900,-0.056717537194490436,0.0,2.7481800716201814,0.0,0.0,5.748180071620182,87.54,502.74,0.0,0.0
398000,-0.0614944569952786,0.0,2.791979705969621,0.0,0.0,5.792212768300244,86.88,502.61,0.0,0.0
398100,-0.052812619637697934,0.0,2.7154336304519338,0.0,0.0,5.715433630451935,88.07,502.84,0.0,0.0
398200,-0.04851577593944967,0.0,2.6284216586194464,0.0,0.0,5.628636936397225,89.49,503.12,0.0,0.0
398300,-0.048787316326051954,0.0,2.582459500619087,0.0,0.0,5.582459500619088,90.19,502.91,0.0,0.0
398400,-0.045809399913996456,0.0,2.538072083600545,0.0,0.0,5.538072083600545,90.87,502.7,0.0,0.0
398500,-0.04363149686716497,0.0,2.4796463729226956,0.0,0.0,5.480063437448743,91.86,502.8,0.0,0.0
398600,-0.04289788637310266,0.0,2.4644336157187383,0.0,0.0,5.464652358248024,92.0,502.3,0.0,0.0
398700,-0.04369610713329166,0.0,2.479155935839064,0.0,0.0,5.47969824532948,91.78,502.26,0.0,0.0
398800,-0.042840629210695626,0.0,2.5470254721771703,0.0,0.0,5.547595162777936,90.65,502.42,0.0,0.0
398900,-0.04410936831496656,0.0,2.5396285227454785,0.0,0.0,5.539742159109116,90.83,502.75,0.0,0.0
399000,-0.04305025439709425,0.0,2.5521023127478277,0.0,0.0,5.552433204078718,90.55,502.3,0.0,0.0
399100,-0.04753175750374794,0.0,2.5783242049236685,0.0,0.0,5.578660264213216,90.13,502.26,0.0,0.0
399200,-0.04759124407544732,0.0,2.6730092720633705,0.0,0.0,5.673120383174482,88.72,502.84,0.0,0.0
399300,-0.05227920159697533,0.0,2.660883355202393,0.0,0.0,5.661667617984645,88.86,502.49,0.0,0.0
399400,-0.05498064775019884,0.0,2.7771539413434714,0.0,0.0,5.7784203675350625,87.09,502.85,0.0,0.0
399500,-0.05677558762952686,0.0,2.712661820419438,0.0,0.0,5.715369606361429,87.98,502.41,0.0,0.0
399600,-0.05388194811530411,0.0,2.8021859893587533,0.0,0.0,5.8043873975716505,86.7,502.71,0.0,0.0
399700,-0.06818276941776276,-0.15606060606060607,2.7929945718766214,0.0,0.0,5.812637397070746,86.73,503.03,1.03,0.0
399800,-0.06108181295916438,0.0,2.7496415884070693,0.0,0.0,5.74964158840707,87.5,502.63,0.0,0.0
399900,-0.06381288250908256,0.0,2.6826027659501768,0.0,0.0,5.682831344842548,88.53,502.52,0.0,0.0
400000,-0.060185896530747414,0.0,2.6628945123191228,0.0,0.0,5.663577696393998,88.86,502.77,0.0,0.0
400100,-0.05894321972504258,0.0,2.708564968202002,0.0,0.0,5.708804497748761,88.1,502.4,0.0,0.0
400200,-0.05930349504575133,0.0,2.596528212864481,0.0,0.0,5.596528212864481,89.99,502.97,0.0,0.0
400300,-0.054445789149031046,0.0,2.5360332684723166,0.0,0.0,5.536033268472316,90.89,502.71,0.0,0.0
400400,-0.057888741977512835,0.0,2.6472723377735905,0.0,0.0,5.647272337773591,89.09,502.59,0.0,0.0
400500,-0.056659870455041526,0.0,2.618049750957111,0.0,0.0,5.61804975095711,89.6,502.85,0.0,0.0
400600,-0.06394423454999924,0.0,2.67206711826238,0.0,0.0,5.67206711826238,88.8,503.13,0.0,0.0
400700,-0.06378619873896241,0.0,2.6907423966374973,0.0,0.0,5.690742396637496,88.44,502.71,0.0,0.0
400800,-0.05900422345846892,0.0,2.6510445037893926,0.0,0.0,5.651155614900505,89.05,502.65,0.0,0.0
400900,-0.056291786544024947,0.0,2.595587526739144,0.0,0.0,5.595587526739143,89.91,502.66,0.0,0.0
401000,-0.05182850334793329,0.0,2.5413662821017824,0.0,0.0,5.541366282101783,90.8,502.47,0.0,0.0
401100,-0.05228965914808214,0.0,2.4991540355536723,0.0,0.0,5.499154035553674,91.51,502.54,0.0,0.0
401200,-0.05487281121313572,0.0,2.647160032686805,0.0,0.0,5.647160032686806,89.1,502.62,0.0,0.0
401300,-0.06742034178227187,0.0,2.7987646228542324,0.0,0.0,5.798764622854232,86.78,502.69,0.0,0.0
401400,-0.06211108542047441,0.0,2.825690231765583,0.0,0.0,5.825690231765584,86.35,502.4,0.0,0.0
401500,-0.06327049935236573,0.0,2.796440432549393,0.0,0.0,5.796555375078129,86.8,502.64,0.0,0.0
401600,-0.062243276350200175,0.0,2.8009011691441863,0.0,0.0,5.800901169144186,86.7,502.36,0.0,0.0
401700,-0.06174786606803537,0.0,2.8053086395903057,0.0,0.0,5.80542628664913,86.7,502.81,0.0,0.0
401800,-0.05832009650766849,0.0,2.729492259863207,0.0,0.0,5.729607202391941,87.89,503.01,0.0,0.0
401900,-0.05331211058422923,0.0,2.7288885783767096,0.0,0.0,5.729003520905446,87.94,503.24,0.0,0.0
402000,-0.05327742360532284,0.0,2.690866149526949,0.0,0.0,5.690866149526949,88.43,502.83,0.0,0.0
402100,-0.052203421108424665,0.0,2.71008727064817,0.0,0.0,5.710204917706992,88.12,502.68,0.0,0.0
402200,-0.04885541690513492,0.0,2.671109507557978,0.0,0.0,5.671109507557976,88.69,502.43,0.0,0.0
402300,-0.051068767923861745,0.0,2.6763435559437654,0.0,0.0,5.676343555943765,88.67,502.9,0.0,0.0
402400,-0.04922934578731656,0.0,2.687457488043831,0.0,0.0,5.687687646773991,88.41,502.25,0.0,0.0
402500,-0.05059979546815157,0.0,2.617701008351734,0.0,0.0,5.617701008351734,89.59,502.77,0.0,0.0
402600,-0.051206741416826844,0.0,2.605585270130308,0.0,0.0,5.605585270130307,89.77,502.78,0.0,0.0
402700,-0.0503142618574202,0.0,2.6515807708946757,0.0,0.0,5.651580770894675,88.99,502.51,0.0,0.0
402800,-0.05404072334989905,0.0,2.7086068914081123,0.0,0.0,5.708606891408111,88.1,502.4,0.0,0.0
402900,-0.0562601507268846,0.0,2.7544722256738385,0.0,0.0,5.754472225673839,87.43,502.63,0.0,0.0
403000,-0.05492199307307601,0.0,2.771188056354303,0.0,0.0,5.771299167465412,87.17,502.51,0.0,0.0
403100,-0.05397319581359625,0.0,2.6857907572485273,0.0,0.0,5.685790757248529,88.5,502.6,0.0,0.0
403200,-0.05431001957505941,0.0,2.7337977109995046,0.0,0.0,5.73391134736314,87.7,502.32,0.0,0.0
403300,-0.04998742435127497,0.0,2.764409416887481,0.0,0.0,5.764409416887482,87.25,502.45,0.0,0.0
403400,-0.05418649634346366,0.0,2.711809647636498,0.0,0.0,5.712034480275123,88.08,502.52,0.0,0.0
403500,-0.04758732662536204,0.0,2.708905017940273,0.0,0.0,5.708905017940273,88.18,502.83,0.0,0.0
